,cleanName,NAME,Type,valid,parkDistrict_x,parkDistrict_y,geometry
87,hillside park - jhs 172,hillside park,other,v,,B-02,POINT (-73.9942797139614 40.70140101456336)
88,hillside park - jhs 172,hillside park,other,v,,Q-13,POINT (-73.71318369954101 40.74099991106712)
89,evergreen park,evergreen park,park_direct,av,,Q-05,POINT (-73.89666891061711 40.69753695658503)
90,crotona park,crotona park,park_direct,av,,X-03,POINT (-73.89489523245744 40.83858538262999)
91,prospect park,prospect park,park_direct,av,,B-19,POINT (-73.96968227860212 40.66135344094496)
92,prospect park - harmony playground,prospect park,empiric,av,,B-19,POINT (-73.96968227860212 40.66135344094496)
93,prospect park - lakeside ice skating rink,prospect park,empiric,av,,B-19,POINT (-73.96968227860212 40.66135344094496)
94,dugan playground,dugan playground,park_direct,av,,R-03,POINT (-74.11084669690096 40.56143082380843)
95,central park - belvedere castle turtle pond and shakespeare garden,central park,empiric,av,,M-13,POINT (-73.96555840117853 40.78248383838978)
96,maurice park,maurice a fitzgerald playground,other,v,,Q-09,POINT (-73.83975342662171 40.69031876261426)
97,mount prospect park playground,prospect park,empiric,av,,B-19,POINT (-73.96968227860212 40.66135344094496)
98,tecumseh playground,tecumseh playground,park_direct,av,,M-07,POINT (-73.97851850399056 40.78180527862156)
99,southern fields,southern fields,park_direct,av,,Q-10,POINT (-73.82620932304881 40.66569012522986)
100,mount playground - ps 174,mount hope playground,pgs,v,,X-05,POINT (-73.90949999999999 40.85029999999983)
101,inwood hill park - payson playground,inwood hill park,empiric,av,,M-12,POINT (-73.92551288356847 40.87256008428427)
102,astoria park,astoria park,park_direct,av,,Q-01,POINT (-73.92317831577441 40.77864295404623)
103,forest park - victory field,forest park,empiric,av,,Q-16,POINT (-73.85300297695302 40.70205260741513)
104,fulton park,fulton park,park_direct,av,,B-03,POINT (-73.93257679402727 40.67975823011904)
105,evergreen pk - ps 68,evergreen playground,park_direct,v,,B-04,POINT (-73.91075895718808 40.68610778749373)
106,blue heron park preserve,blue heron park,other,v,,R-03,POINT (-74.17438395771006 40.53223462347621)
107,dome playground,dome playground,park_direct,av,,B-12,POINT (-73.98019421072482 40.63820669155761)
108,cadman plaza park,cadman plaza park,park_direct,av,,B-02,POINT (-73.99056550818207 40.69838148608213)
109,recreation center - asser levy,asser levy park,empiric,av,,B-13,POINT (-73.97353099490509 40.574731365639)
110,recreation center - hansborough,hansborough recreation center,other,av,,M-10,POINT (-73.93931871272146 40.81282780001942)
